CapabilityLabel,CapabilityValue,Survey,SurveyUser,CapabilityRank
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,John Hoffman,6
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,John Hoffman,5
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,John Hoffman,4
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,John Hoffman,3
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,John Hoffman,2
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,John Hoffman,1
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Mr. Brett Dennis,6
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Mr. Brett Dennis,5
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Mr. Brett Dennis,4
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Mr. Brett Dennis,3
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Mr. Brett Dennis,2
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Mr. Brett Dennis,1
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Kathleen Dixon,6
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Kathleen Dixon,5
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Kathleen Dixon,4
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Kathleen Dixon,3
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Kathleen Dixon,2
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Kathleen Dixon,1
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Bryan Carson,6
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Bryan Carson,5
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Bryan Carson,4
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Bryan Carson,3
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Bryan Carson,2
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Bryan Carson,1
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Scott Moore,6
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Scott Moore,5
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Scott Moore,4
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Scott Moore,3
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Scott Moore,2
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Scott Moore,1
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Dawn Mitchell,6
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Dawn Mitchell,5
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Dawn Mitchell,4
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Dawn Mitchell,3
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Dawn Mitchell,2
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Dawn Mitchell,1
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Thomas Moore,6
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Thomas Moore,5
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Thomas Moore,4
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Thomas Moore,3
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Thomas Moore,2
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Thomas Moore,1
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Anita Morrison,6
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Anita Morrison,5
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Anita Morrison,4
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Anita Morrison,3
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Anita Morrison,2
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Anita Morrison,1
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Dr. Autumn Smith PhD,6
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Dr. Autumn Smith PhD,5
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Dr. Autumn Smith PhD,4
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Dr. Autumn Smith PhD,3
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Dr. Autumn Smith PhD,2
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Dr. Autumn Smith PhD,1
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Kristen Adams,6
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Kristen Adams,5
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Kristen Adams,4
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Kristen Adams,3
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Kristen Adams,2
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Kristen Adams,1
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Anna Anderson,6
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Anna Anderson,5
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Anna Anderson,4
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Anna Anderson,3
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Anna Anderson,2
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Anna Anderson,1
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Laurie Harper,6
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Laurie Harper,5
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Laurie Harper,4
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Laurie Harper,3
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Laurie Harper,2
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Laurie Harper,1
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Christopher Nguyen,6
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Christopher Nguyen,5
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Christopher Nguyen,4
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Christopher Nguyen,3
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Christopher Nguyen,2
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Christopher Nguyen,1
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Richard Luna,6
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Richard Luna,5
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Richard Luna,4
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Richard Luna,3
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Richard Luna,2
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Richard Luna,1
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Erin Sanchez,6
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Erin Sanchez,5
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Erin Sanchez,4
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Erin Sanchez,3
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Erin Sanchez,2
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Erin Sanchez,1
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Heather Peterson,6
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Heather Peterson,5
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Heather Peterson,4
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Heather Peterson,3
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Heather Peterson,2
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Heather Peterson,1
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Wendy Delgado,6
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Wendy Delgado,5
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Wendy Delgado,4
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Wendy Delgado,3
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Wendy Delgado,2
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Wendy Delgado,1
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Kirk Webb,6
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Kirk Webb,5
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Kirk Webb,4
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Kirk Webb,3
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Kirk Webb,2
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Kirk Webb,1
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Cassandra Cooper,6
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Cassandra Cooper,5
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Cassandra Cooper,4
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Cassandra Cooper,3
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Cassandra Cooper,2
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Cassandra Cooper,1
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Victoria Morales,6
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Victoria Morales,5
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Victoria Morales,4
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Victoria Morales,3
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Victoria Morales,2
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Victoria Morales,1
Ability for analysts in different geographic locations to work simultaneously on an investigation,Ability for analysts in different geographic locations to work simultaneously on an investigation,Tool Survey,Mr. Luis Chan,6
Ability to automate common tasks such as responding to phishing attacks and failed user logins,Ability to automate common tasks such as responding to phishing attacks and failed user logins,Tool Survey,Mr. Luis Chan,5
"Playbooks or workflows that are easy to create, configure, share, and combine","Playbooks or workflows that are easy to create, configure, share, and combine",Tool Survey,Mr. Luis Chan,4
Ability to ingest custom logging / alert formats,Ability to ingest custom logging / alert formats,Tool Survey,Mr. Luis Chan,3
Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Ability to rank / score alerts so that analysts can easily prioritize alerts from most to least significant,Tool Survey,Mr. Luis Chan,2
Ability to prepopulate alert and logging data into tickets,Ability to prepopulate alert and logging data into tickets,Tool Survey,Mr. Luis Chan,1
